Food,Category,Calories
l’authentique pain paillasse cereales,en:breads,0.025023900573613766
fruit gummies,en:confectioneries,0.029995219885277247
fruit gummies,en:confectioneries,0.029995219885277247
les boudoirs magiques,en:sponge-fingers-biscuit,0.045889101338432124
xango reserve,en:juices-and-nectars,0.004302103250478011
"sobe, fruit twist snacks blueberry pomec-ranate",en:confectioneries,0.032098470363288716
muffin double chocolat,en:chocolate-muffins,0.0390057361376673
pesto,en:groceries,0.05540152963671128
75 protein bar,en:protein-bars,0.04760994263862332
"lagg's, herbal tea, peppermint",en:tea-bags,0.0
biscotti al cacao e crema alla vaniglia,en:chocolate-sandwich-cookies,0.04369024856596558
colgate sensitive plus. made in india.,en:open-beauty-facts,0.016993307839388145
"feletti, milk chocolate pralines",en:chocolate-candies,0.054110898661567874
so vegan so fine,en:chocolate-spreads,0.056190248565965585
granini pêche et raisin,en:beverages,0.003202676864244742
fuet ecológico,en:sausages,0.03200286806883365
purée de sésame tahini bio,fr:pate-de-noix,0.0630736137667304
jamón serrano,en:serrano-ham,0.019694072657743786
creamed honey,en:honeys,0.028608986615678775
madeleines bijou,fr:madeleines-chocolat-noisette,0.04940248565965583
oeuf de goeland chocolat vrac,en:sweet-snacks,0.05889101338432123
velouté de 12 légumes,fr:potage,0.004206500956022944
poulet,en:chickens,0.008891013384321224
bagel,en:bagel-breads,0.019694072657743786
chai latte,en:chai-teas,0.018953154875717016
sopa de tomate gourmet,en:soups,0.03260038240917782
assortiments de tuiles et palets gourmants au chocolat,en:biscuits,0.05650095602294455
croissant vegan,en:croissants,0.036496175908221795
chocolat noir,en:dark-chocolates,0.05370458891013384
brocolis sauce guazamara,en:vegetables-based-foods,0.006190248565965583
protein drink mix,en:protein-shakes,0.03902963671128107
"lagg's, green tea",en:tea-bags,0.0
premier protien 100% whey powder,en:protien-powder,0.03659177820267687
organic tomato sauce with basil,en:groceries,0.006190248565965583
mortadelle olives 10 tranches,en:meats,0.01978967495219885
german fine bread,en:breads,0.026290630975143402
"emojeez, gummies, assorted fruits",en:confectioneries,0.027509560229445507
l'envoûtante (pain),en:baguettes,0.028393881453154874
sirop d'agave,en:agave-syrups,0.03200286806883365
veganes protein vanille,en:beverages,0.03840822179732314
